model,statsbomb_features,log_loss_2022_plus,accuracy_2022_plus,log_loss_2022_world_cup,accuracy_2022_world_cup,delta_log_loss_2022_plus_vs_before,delta_accuracy_2022_plus_vs_before,delta_log_loss_2022_world_cup_vs_before,delta_accuracy_2022_world_cup_vs_before
logistic,True,0.8678481432650621,0.6030811055731763,1.0367304650051326,0.484375,0.005698143265062128,-0.0018128944268237523,0.010150465005132503,-0.03125
gradient_boosting,True,0.8640073844639369,0.6073855913004078,1.0187957870589264,0.53125,-0.0007726155360631148,0.0013595913004078586,-0.0034682129410736895,0.015625
blend_0.65,True,0.8627474334725539,0.606705935659266,1.0242232539976324,0.546875,0.0012464334725539317,0.0015859356592660134,0.0016902539976324515,0.015625
blend_0.40_exploratory_test_sweep,True,0.8616110575236053,0.607838695061169,1.0194651719266514,0.546875,,,,
