group_shrinkage,knockout_shrinkage,rotation_strength,rotation_draw_share,validation_log_loss,validation_accuracy,selected
0.0,0.0,0.0,0.25,1.0467386529718796,0.60011641443539,False
0.0,0.0,0.0,0.5,1.0467386529718796,0.60011641443539,False
0.0,0.0,0.05,0.25,1.04671536648496,0.6006984866123399,False
0.0,0.0,0.05,0.5,1.0467109641500822,0.6006984866123399,False
0.0,0.0,0.1,0.25,1.0466995969285628,0.6006984866123399,False
0.0,0.0,0.1,0.5,1.0466914071153415,0.6006984866123399,False
0.0,0.0,0.15,0.25,1.0466916076863748,0.6006984866123399,False
0.0,0.0,0.15,0.5,1.0466802548748506,0.6006984866123399,False
0.0,0.0,0.2,0.25,1.0466918246013894,0.6006984866123399,False
0.0,0.0,0.2,0.5,1.0466779484294366,0.6006984866123399,False
0.0,0.05,0.0,0.25,0.9909477876096374,0.60011641443539,False
0.0,0.05,0.0,0.5,0.9909477876096374,0.60011641443539,False
0.0,0.05,0.05,0.25,0.9909245011227176,0.6006984866123399,False
0.0,0.05,0.05,0.5,0.9909200987878399,0.6006984866123399,False
0.0,0.05,0.1,0.25,0.9909087315663205,0.6006984866123399,False
0.0,0.05,0.1,0.5,0.9909005417530993,0.6006984866123399,False
0.0,0.05,0.15,0.25,0.9909007423241325,0.6006984866123399,False
0.0,0.05,0.15,0.5,0.9908893895126084,0.6006984866123399,False
0.0,0.05,0.2,0.25,0.9909009592391472,0.6006984866123399,False
0.0,0.05,0.2,0.5,0.9908870830671943,0.6006984866123399,False
0.0,0.1,0.0,0.25,0.9877237812155134,0.60011641443539,False
0.0,0.1,0.0,0.5,0.9877237812155134,0.60011641443539,False
0.0,0.1,0.05,0.25,0.9877004947285938,0.6006984866123399,False
0.0,0.1,0.05,0.5,0.9876960923937161,0.6006984866123399,False
0.0,0.1,0.1,0.25,0.9876847251721965,0.6006984866123399,False
0.0,0.1,0.1,0.5,0.9876765353589753,0.6006984866123399,False
0.0,0.1,0.15,0.25,0.9876767359300085,0.6006984866123399,False
0.0,0.1,0.15,0.5,0.9876653831184844,0.6006984866123399,False
0.0,0.1,0.2,0.25,0.9876769528450232,0.6006984866123399,False
0.0,0.1,0.2,0.5,0.9876630766730704,0.6006984866123399,False
0.0,0.15,0.0,0.25,0.9857731977661883,0.60011641443539,False
0.0,0.15,0.0,0.5,0.9857731977661883,0.60011641443539,False
0.0,0.15,0.05,0.25,0.9857499112792684,0.6006984866123399,False
0.0,0.15,0.05,0.5,0.985745508944391,0.6006984866123399,False
0.0,0.15,0.1,0.25,0.9857341417228713,0.6006984866123399,False
0.0,0.15,0.1,0.5,0.9857259519096501,0.6006984866123399,False
0.0,0.15,0.15,0.25,0.9857261524806834,0.6006984866123399,False
0.0,0.15,0.15,0.5,0.9857147996691592,0.6006984866123399,False
0.0,0.15,0.2,0.25,0.9857263693956981,0.6006984866123399,False
0.0,0.15,0.2,0.5,0.9857124932237452,0.6006984866123399,False
0.05,0.0,0.0,0.25,0.9524987647129414,0.60011641443539,False
0.05,0.0,0.0,0.5,0.9524987647129414,0.60011641443539,False
0.05,0.0,0.05,0.25,0.9524509103380029,0.6006984866123399,False
0.05,0.0,0.05,0.5,0.95244747198431,0.6006984866123399,False
0.05,0.0,0.1,0.25,0.9524125114500934,0.6006984866123399,False
0.05,0.0,0.1,0.5,0.9524062525174515,0.6006984866123399,False
0.05,0.0,0.15,0.25,0.9523837516404147,0.6006984866123399,False
0.05,0.0,0.15,0.5,0.9523753006765537,0.6006984866123399,False
0.05,0.0,0.2,0.25,0.9523650053868781,0.6006984866123399,False
0.05,0.0,0.2,0.5,0.9523550069652176,0.6006984866123399,False
0.05,0.05,0.0,0.25,0.8967078993506991,0.60011641443539,False
0.05,0.05,0.0,0.5,0.8967078993506991,0.60011641443539,False
0.05,0.05,0.05,0.25,0.8966600449757607,0.6006984866123399,False
0.05,0.05,0.05,0.5,0.8966566066220677,0.6006984866123399,False
0.05,0.05,0.1,0.25,0.8966216460878511,0.6006984866123399,False
0.05,0.05,0.1,0.5,0.8966153871552093,0.6006984866123399,False
0.05,0.05,0.15,0.25,0.8965928862781725,0.6006984866123399,False
0.05,0.05,0.15,0.5,0.8965844353143114,0.6006984866123399,False
0.05,0.05,0.2,0.25,0.8965741400246359,0.6006984866123399,False
0.05,0.05,0.2,0.5,0.8965641416029753,0.6006984866123399,False
0.05,0.1,0.0,0.25,0.8934838929565752,0.60011641443539,False
0.05,0.1,0.0,0.5,0.8934838929565752,0.60011641443539,False
0.05,0.1,0.05,0.25,0.8934360385816367,0.6006984866123399,False
0.05,0.1,0.05,0.5,0.8934326002279438,0.6006984866123399,False
0.05,0.1,0.1,0.25,0.8933976396937272,0.6006984866123399,False
0.05,0.1,0.1,0.5,0.8933913807610853,0.6006984866123399,False
0.05,0.1,0.15,0.25,0.8933688798840485,0.6006984866123399,False
0.05,0.1,0.15,0.5,0.8933604289201875,0.6006984866123399,False
0.05,0.1,0.2,0.25,0.8933501336305119,0.6006984866123399,False
0.05,0.1,0.2,0.5,0.8933401352088514,0.6006984866123399,False
0.05,0.15,0.0,0.25,0.89153330950725,0.60011641443539,False
0.05,0.15,0.0,0.5,0.89153330950725,0.60011641443539,False
0.05,0.15,0.05,0.25,0.8914854551323116,0.6006984866123399,False
0.05,0.15,0.05,0.5,0.8914820167786187,0.6006984866123399,False
0.05,0.15,0.1,0.25,0.891447056244402,0.6006984866123399,False
0.05,0.15,0.1,0.5,0.8914407973117601,0.6006984866123399,False
0.05,0.15,0.15,0.25,0.8914182964347233,0.6006984866123399,False
0.05,0.15,0.15,0.5,0.8914098454708623,0.6006984866123399,False
0.05,0.15,0.2,0.25,0.8913995501811867,0.6006984866123399,False
0.05,0.15,0.2,0.5,0.8913895517595262,0.6006984866123399,False
0.1,0.0,0.0,0.25,0.9452226049165435,0.60011641443539,False
0.1,0.0,0.0,0.5,0.9452226049165435,0.60011641443539,False
0.1,0.0,0.05,0.25,0.9451785656318636,0.6006984866123399,False
0.1,0.0,0.05,0.5,0.9451760899078967,0.6006984866123399,False
0.1,0.0,0.1,0.25,0.945144563472529,0.6006984866123399,False
0.1,0.0,0.1,0.5,0.9451402294171491,0.6006984866123399,False
0.1,0.0,0.15,0.25,0.9451208142711555,0.6006984866123399,False
0.1,0.0,0.15,0.5,0.9451152502606579,0.6006984866123399,False
0.1,0.0,0.2,0.25,0.9451077358796179,0.6006984866123399,False
0.1,0.0,0.2,0.5,0.945101586145056,0.6006984866123399,False
0.1,0.05,0.0,0.25,0.8894317395543011,0.60011641443539,False
0.1,0.05,0.0,0.5,0.8894317395543011,0.60011641443539,False
0.1,0.05,0.05,0.25,0.8893877002696213,0.6006984866123399,False
0.1,0.05,0.05,0.5,0.8893852245456545,0.6006984866123399,False
0.1,0.05,0.1,0.25,0.8893536981102865,0.6006984866123399,False
0.1,0.05,0.1,0.5,0.8893493640549069,0.6006984866123399,False
0.1,0.05,0.15,0.25,0.8893299489089133,0.6006984866123399,False
0.1,0.05,0.15,0.5,0.8893243848984156,0.6006984866123399,False
0.1,0.05,0.2,0.25,0.8893168705173757,0.6006984866123399,False
0.1,0.05,0.2,0.5,0.8893107207828136,0.6006984866123399,False
0.1,0.1,0.0,0.25,0.8862077331601773,0.60011641443539,False
0.1,0.1,0.0,0.5,0.8862077331601773,0.60011641443539,False
0.1,0.1,0.05,0.25,0.8861636938754974,0.6006984866123399,False
0.1,0.1,0.05,0.5,0.8861612181515305,0.6006984866123399,False
0.1,0.1,0.1,0.25,0.8861296917161627,0.6006984866123399,False
0.1,0.1,0.1,0.5,0.8861253576607829,0.6006984866123399,False
0.1,0.1,0.15,0.25,0.8861059425147892,0.6006984866123399,False
0.1,0.1,0.15,0.5,0.8861003785042917,0.6006984866123399,False
0.1,0.1,0.2,0.25,0.8860928641232518,0.6006984866123399,False
0.1,0.1,0.2,0.5,0.8860867143886898,0.6006984866123399,False
0.1,0.15,0.0,0.25,0.8842571497108521,0.60011641443539,False
0.1,0.15,0.0,0.5,0.8842571497108521,0.60011641443539,False
0.1,0.15,0.05,0.25,0.8842131104261723,0.6006984866123399,False
0.1,0.15,0.05,0.5,0.8842106347022053,0.6006984866123399,False
0.1,0.15,0.1,0.25,0.8841791082668374,0.6006984866123399,False
0.1,0.15,0.1,0.5,0.8841747742114577,0.6006984866123399,False
0.1,0.15,0.15,0.25,0.884155359065464,0.6006984866123399,False
0.1,0.15,0.15,0.5,0.8841497950549665,0.6006984866123399,False
0.1,0.15,0.2,0.25,0.8841422806739266,0.6006984866123399,False
0.1,0.15,0.2,0.5,0.8841361309393645,0.6006984866123399,False
0.15,0.0,0.0,0.25,0.9408570729064607,0.60011641443539,False
0.15,0.0,0.0,0.5,0.9408570729064607,0.60011641443539,False
0.15,0.0,0.05,0.25,0.9408168323318039,0.6006984866123399,False
0.15,0.0,0.05,0.5,0.9408153179024233,0.6006984866123399,False
0.15,0.0,0.1,0.25,0.9407871752900673,0.6006984866123399,False
0.15,0.0,0.1,0.5,0.9407847602456361,0.6006984866123399,False
0.15,0.0,0.15,0.25,0.9407683448772809,0.6006984866123399,False
0.15,0.0,0.15,0.5,0.9407656534171501,0.6006984866123399,False
0.15,0.0,0.2,0.25,0.9407607953667206,0.60011641443539,False
0.15,0.0,0.2,0.5,0.9407584665089107,0.60011641443539,False
0.15,0.05,0.0,0.25,0.8850662075442185,0.60011641443539,False
0.15,0.05,0.0,0.5,0.8850662075442185,0.60011641443539,False
0.15,0.05,0.05,0.25,0.8850259669695617,0.6006984866123399,False
0.15,0.05,0.05,0.5,0.8850244525401808,0.6006984866123399,False
0.15,0.05,0.1,0.25,0.8849963099278251,0.6006984866123399,False
0.15,0.05,0.1,0.5,0.8849938948833939,0.6006984866123399,False
0.15,0.05,0.15,0.25,0.8849774795150387,0.6006984866123399,False
0.15,0.05,0.15,0.5,0.8849747880549079,0.6006984866123399,False
0.15,0.05,0.2,0.25,0.8849699300044782,0.60011641443539,False
0.15,0.05,0.2,0.5,0.8849676011466685,0.60011641443539,False
0.15,0.1,0.0,0.25,0.8818422011500945,0.60011641443539,False
0.15,0.1,0.0,0.5,0.8818422011500945,0.60011641443539,False
0.15,0.1,0.05,0.25,0.8818019605754377,0.6006984866123399,False
0.15,0.1,0.05,0.5,0.8818004461460569,0.6006984866123399,False
0.15,0.1,0.1,0.25,0.8817723035337011,0.6006984866123399,False
0.15,0.1,0.1,0.5,0.8817698884892698,0.6006984866123399,False
0.15,0.1,0.15,0.25,0.8817534731209147,0.6006984866123399,False
0.15,0.1,0.15,0.5,0.8817507816607839,0.6006984866123399,False
0.15,0.1,0.2,0.25,0.8817459236103544,0.60011641443539,False
0.15,0.1,0.2,0.5,0.8817435947525446,0.60011641443539,False
0.15,0.15,0.0,0.25,0.8798916177007694,0.60011641443539,False
0.15,0.15,0.0,0.5,0.8798916177007694,0.60011641443539,False
0.15,0.15,0.05,0.25,0.8798513771261126,0.6006984866123399,False
0.15,0.15,0.05,0.5,0.8798498626967317,0.6006984866123399,False
0.15,0.15,0.1,0.25,0.879821720084376,0.6006984866123399,False
0.15,0.15,0.1,0.5,0.8798193050399448,0.6006984866123399,False
0.15,0.15,0.15,0.25,0.8798028896715896,0.6006984866123399,False
0.15,0.15,0.15,0.5,0.8798001982114586,0.6006984866123399,False
0.15,0.15,0.2,0.25,0.8797953401610293,0.60011641443539,False
0.15,0.15,0.2,0.5,0.8797930113032194,0.60011641443539,False
0.2,0.0,0.0,0.25,0.9378306360702172,0.60011641443539,False
0.2,0.0,0.0,0.5,0.9378306360702172,0.60011641443539,False
0.2,0.0,0.05,0.25,0.937794177863458,0.6006984866123399,False
0.2,0.0,0.05,0.5,0.9377936234097568,0.6006984866123399,False
0.2,0.0,0.1,0.25,0.9377688146564883,0.6006984866123399,False
0.2,0.0,0.1,0.5,0.9377683128919693,0.6006984866123399,False
0.2,0.0,0.15,0.25,0.9377548123130225,0.6006984866123399,False
0.2,0.0,0.15,0.5,0.9377549794808046,0.6006984866123399,False
0.2,0.0,0.2,0.25,0.9377526553343954,0.60011641443539,False
0.2,0.0,0.2,0.5,0.9377541207542051,0.60011641443539,False
0.2,0.05,0.0,0.25,0.882039770707975,0.60011641443539,False
0.2,0.05,0.0,0.5,0.882039770707975,0.60011641443539,False
0.2,0.05,0.05,0.25,0.8820033125012158,0.6006984866123399,False
0.2,0.05,0.05,0.5,0.8820027580475145,0.6006984866123399,False
0.2,0.05,0.1,0.25,0.881977949294246,0.6006984866123399,False
0.2,0.05,0.1,0.5,0.8819774475297271,0.6006984866123399,False
0.2,0.05,0.15,0.25,0.8819639469507801,0.6006984866123399,False
0.2,0.05,0.15,0.5,0.8819641141185622,0.6006984866123399,False
0.2,0.05,0.2,0.25,0.8819617899721532,0.60011641443539,False
0.2,0.05,0.2,0.5,0.8819632553919629,0.60011641443539,False
0.2,0.1,0.0,0.25,0.878815764313851,0.60011641443539,False
0.2,0.1,0.0,0.5,0.878815764313851,0.60011641443539,False
0.2,0.1,0.05,0.25,0.8787793061070918,0.6006984866123399,False
0.2,0.1,0.05,0.5,0.8787787516533905,0.6006984866123399,False
0.2,0.1,0.1,0.25,0.8787539429001221,0.6006984866123399,False
0.2,0.1,0.1,0.5,0.878753441135603,0.6006984866123399,False
0.2,0.1,0.15,0.25,0.8787399405566563,0.6006984866123399,False
0.2,0.1,0.15,0.5,0.8787401077244382,0.6006984866123399,False
0.2,0.1,0.2,0.25,0.8787377835780292,0.60011641443539,False
0.2,0.1,0.2,0.5,0.8787392489978388,0.60011641443539,False
0.2,0.15,0.0,0.25,0.8768651808645258,0.60011641443539,False
0.2,0.15,0.0,0.5,0.8768651808645258,0.60011641443539,False
0.2,0.15,0.05,0.25,0.8768287226577666,0.6006984866123399,False
0.2,0.15,0.05,0.5,0.8768281682040653,0.6006984866123399,False
0.2,0.15,0.1,0.25,0.876803359450797,0.6006984866123399,False
0.2,0.15,0.1,0.5,0.8768028576862779,0.6006984866123399,False
0.2,0.15,0.15,0.25,0.876789357107331,0.6006984866123399,False
0.2,0.15,0.15,0.5,0.8767895242751131,0.6006984866123399,False
0.2,0.15,0.2,0.25,0.8767872001287041,0.60011641443539,True
0.2,0.15,0.2,0.5,0.8767886655485136,0.60011641443539,False
