model,matches,log_loss,brier_score,accuracy,top_probability_accuracy,top_probability_predicted_draws,predicted_draws,actual_draws,decision_accuracy,draw_recall,draw_precision,non_draw_accuracy,start_year,average_total_goals,dixon_coles_rho
basic_poisson,7952.0,0.9433587614851684,0.5475636107803109,0.6007293762575453,0.6007293762575453,0.0,0.0,1837.0,0.6007293762575453,0.0,0.0,0.78119378577269,2018.0,2.7212239583333333,0.0
dixon_coles,7952.0,0.9449919726437647,0.5457565742306657,0.6007293762575453,0.6007293762575453,0.0,327.0,1837.0,0.5998490945674044,0.06205770277626565,0.3486238532110092,0.7614063777596075,2018.0,2.7212239583333333,-0.08
enhanced_dixon_coles,7952.0,0.9529813199687684,0.548477310712656,0.6001006036217303,0.6001006036217303,0.0,289.0,1837.0,0.5995975855130785,0.05552531301034295,0.35294117647058826,0.7630417007358954,2018.0,2.7212239583333333,-0.08
