model_key,model,matches_evaluated,correct_picks,accuracy,log_loss,brier,locked_matches,backfill_matches,last_updated
market_adjusted_wc_elo,Market-Adjusted WC Elo Model,51,36,0.7058823529411765,0.6944722141441037,0.13370623387062258,8,43,2026-06-29T21:47:55Z
elo,Elo Model,51,37,0.7254901960784313,0.7254432192211284,0.1381300299798459,8,43,2026-06-29T21:47:55Z
regression,Regression Model,51,37,0.7254901960784313,0.802156151623516,0.14632048363846,8,43,2026-06-29T21:47:55Z
blended,Blended Model,51,37,0.7254901960784313,0.8196137310878683,0.15316758364662503,8,43,2026-06-29T21:47:55Z
gradient_boosting,Gradient Boosting Model,51,37,0.7254901960784313,0.9448446122297901,0.18677722762236632,8,43,2026-06-29T21:47:55Z
