prediction_generated_at,prediction_date,match_id,kickoff_utc,local_date,status,stage,group,team_a,team_b,model_key,model,model_version,team_a_win_prob,draw_prob,team_b_win_prob,team_a_advancement_prob,team_b_advancement_prob,home_team,away_team,home_score,away_score,winner,actual_class,actual_result,predicted_class,predicted_result,correct,actual_probability,log_loss,brier
2026-06-25T00:00:00Z,2026-06-25,537361,2026-06-25T23:00:00Z,2026-06-25,IN_PLAY,GROUP_STAGE,GROUP_F,Tunisia,Netherlands,gradient_boosting,Gradient Boosting Model,live,0.18784522644727641,0.37513196336964355,0.43702281018308003,0.3754112081320982,0.6245887918679018,Tunisia,Netherlands,1.0,3.0,AWAY_TEAM,2,team_b_win,2,team_b_win,True,0.43702281018308003,0.827769888033488,0.1643177117649162
2026-06-25T00:00:00Z,2026-06-25,537361,2026-06-25T23:00:00Z,2026-06-25,IN_PLAY,GROUP_STAGE,GROUP_F,Tunisia,Netherlands,market_adjusted_wc_elo,Market-Adjusted WC Elo Model,live,0.0384015803390963,0.12,0.8415984196609037,0.0984015803390963,0.9015984196609036,Tunisia,Netherlands,1.0,3.0,AWAY_TEAM,2,team_b_win,2,team_b_win,True,0.8415984196609037,0.1724523147797992,0.01365524734215442
2026-06-25T00:00:00Z,2026-06-25,537361,2026-06-25T23:00:00Z,2026-06-25,IN_PLAY,GROUP_STAGE,GROUP_F,Tunisia,Netherlands,regression,Regression Model,live,0.16227267671717793,0.10327198459470571,0.7344553386881164,0.2139086690145308,0.7860913309854691,Tunisia,Netherlands,1.0,3.0,AWAY_TEAM,2,team_b_win,2,team_b_win,True,0.7344553386881164,0.30862609027052684,0.03583716385410995
2026-06-25T00:00:00Z,2026-06-25,537362,2026-06-25T23:00:00Z,2026-06-25,IN_PLAY,GROUP_STAGE,GROUP_F,Japan,Sweden,blended,Blended Model,live,0.5246038353623521,0.2308483571241454,0.2445478075135024,0.6400280139244248,0.3599719860755752,Japan,Sweden,1.0,1.0,DRAW,1,draw,0,team_a_win,False,0.2308483571241454,1.4659942466923426,0.308869021325059
2026-06-25T00:00:00Z,2026-06-25,537362,2026-06-25T23:00:00Z,2026-06-25,IN_PLAY,GROUP_STAGE,GROUP_F,Japan,Sweden,elo,Elo Model,live,0.636588145613461,0.19382864533115285,0.16958320905538607,0.7335024682790375,0.2664975317209626,Japan,Sweden,1.0,1.0,DRAW,1,draw,0,team_a_win,False,0.19382864533115285,1.6407807817218258,0.36130506167257065
2026-06-25T00:00:00Z,2026-06-25,537362,2026-06-25T23:00:00Z,2026-06-25,IN_PLAY,GROUP_STAGE,GROUP_F,Japan,Sweden,gradient_boosting,Gradient Boosting Model,live,0.42368255956348144,0.32967603832739334,0.24664140210912522,0.5885205787271781,0.4114794212728219,Japan,Sweden,1.0,1.0,DRAW,1,draw,0,team_a_win,False,0.32967603832739334,1.1096448087448596,0.22989103536835878
2026-06-25T00:00:00Z,2026-06-25,537362,2026-06-25T23:00:00Z,2026-06-25,IN_PLAY,GROUP_STAGE,GROUP_F,Japan,Sweden,market_adjusted_wc_elo,Market-Adjusted WC Elo Model,live,0.611698962787019,0.20240859748300777,0.18589243972997332,0.7129032615285228,0.2870967384714772,Japan,Sweden,1.0,1.0,DRAW,1,draw,0,team_a_win,False,0.20240859748300777,1.5974668647881332,0.3482945551974998
2026-06-25T00:00:00Z,2026-06-25,537362,2026-06-25T23:00:00Z,2026-06-25,IN_PLAY,GROUP_STAGE,GROUP_F,Japan,Sweden,regression,Regression Model,live,0.5789460607925133,0.1776334518608581,0.2434204873466286,0.6677627867229423,0.3322372132770577,Japan,Sweden,1.0,1.0,DRAW,1,draw,0,team_a_win,False,0.1776334518608581,1.7280331110882576,0.35690627148850873
2026-06-25T00:00:00Z,2026-06-25,537349,2026-06-26T02:00:00Z,2026-06-25,TIMED,GROUP_STAGE,GROUP_D,Turkey,United States,blended,Blended Model,live,0.3623966200890638,0.2950856673791536,0.3425177125317826,0.5099394537786406,0.4900605462213594,Turkey,United States,3.0,2.0,HOME_TEAM,0,team_a_win,0,team_a_win,True,0.3623966200890638,1.0150160313218601,0.20364400152148499
2026-06-25T00:00:00Z,2026-06-25,537349,2026-06-26T02:00:00Z,2026-06-25,TIMED,GROUP_STAGE,GROUP_D,Turkey,United States,elo,Elo Model,live,0.3758931597104111,0.2751551352876381,0.34895170500195094,0.51347072735423,0.4865292726457699,Turkey,United States,3.0,2.0,HOME_TEAM,0,team_a_win,0,team_a_win,True,0.3758931597104111,0.9784503256767729,0.19566232966506045
