class_label,class_name,feature,coefficient
0,team_a_win,team_b_wc_prior_weight,0.018690645765178555
0,team_a_win,team_b_wc_prior_points_per_match,-0.012688877067632899
0,team_a_win,team_b_wc_prior_goal_diff_per_match,0.008794575797979725
0,team_a_win,team_b_wc_prior_win_rate,-0.017293283706652944
0,team_a_win,team_b_wc_prior_draw_rate,0.022240806772921843
0,team_a_win,team_b_wc_prior_knockout_matches,0.04533734311926065
0,team_a_win,wc_prior_matches_diff,0.016489456663779673
0,team_a_win,wc_prior_weight_diff,0.04209245196698215
0,team_a_win,wc_prior_points_per_match_diff,0.00676460992585086
0,team_a_win,wc_prior_goal_diff_per_match_diff,-0.004616626875566916
0,team_a_win,wc_prior_win_rate_diff,0.011099185583313352
0,team_a_win,wc_prior_draw_rate_diff,-0.024807161200765183
0,team_a_win,wc_prior_knockout_matches_diff,-0.0363478852617038
0,team_a_win,has_injury_data,-0.025597169835533434
0,team_a_win,team_a_injured_players_count,0.02134149982094144
0,team_a_win,team_a_injured_market_value_eur,0.04245820014064591
0,team_a_win,team_a_injured_market_value_share,-0.03039559278798601
0,team_a_win,team_a_key_injured_players_count,-0.09745721907760684
0,team_a_win,team_a_max_injured_player_market_value_eur,0.016770576952462778
0,team_a_win,team_a_injured_gk_count,0.04183349786224927
0,team_a_win,team_a_injured_gk_market_value_eur,-0.043769770585554424
0,team_a_win,team_a_injured_df_count,0.005356710296273253
0,team_a_win,team_a_injured_df_market_value_eur,-0.0003628541877695268
0,team_a_win,team_a_injured_mf_count,0.006853448689143808
0,team_a_win,team_a_injured_mf_market_value_eur,0.05112922509268742
0,team_a_win,team_a_injured_fw_count,0.010319704048239812
0,team_a_win,team_a_injured_fw_market_value_eur,0.05015696579129952
0,team_a_win,team_b_injured_players_count,-0.004239425769384464
0,team_a_win,team_b_injured_market_value_eur,-0.039475705066581795
0,team_a_win,team_b_injured_market_value_share,0.02846896540419305
0,team_a_win,team_b_key_injured_players_count,0.049243769446183916
0,team_a_win,team_b_max_injured_player_market_value_eur,-0.0078000146614390625
0,team_a_win,team_b_injured_gk_count,-0.0029726344810383732
0,team_a_win,team_b_injured_gk_market_value_eur,0.024286045097856455
0,team_a_win,team_b_injured_df_count,-0.028418026291796822
0,team_a_win,team_b_injured_df_market_value_eur,0.03715136429154343
0,team_a_win,team_b_injured_mf_count,0.005753768610511994
0,team_a_win,team_b_injured_mf_market_value_eur,-0.05224755400253876
0,team_a_win,team_b_injured_fw_count,0.03610974068652797
0,team_a_win,team_b_injured_fw_market_value_eur,-0.02297874511935016
0,team_a_win,injured_players_count_diff,0.021293297743575103
0,team_a_win,injured_market_value_diff,0.06404923364060484
0,team_a_win,injured_market_value_share_diff,-0.047663232271561114
0,team_a_win,key_injured_players_count_diff,-0.11462519788831983
0,team_a_win,max_injured_player_market_value_diff,0.019131555749454212
0,team_a_win,injured_gk_count_diff,0.03167283351269541
0,team_a_win,injured_gk_market_value_diff,-0.0481115380903638
0,team_a_win,injured_df_count_diff,0.024488786142473934
0,team_a_win,injured_df_market_value_diff,-0.02695185613169473
