model,log_loss_2022_plus,accuracy_2022_plus,log_loss_2022_world_cup,accuracy_2022_world_cup
logistic_no_statsbomb,0.8621504878306179,0.6048935206162211,1.0265796564096061,0.515625
gradient_boosting_with_statsbomb,0.8640073844639369,0.6073855913004078,1.0187957870589264,0.53125
validation_tuned_blend,0.8631501999856934,0.6062528318985048,1.0186452902268779,0.53125
