variant,matches,log_loss,brier_score,accuracy,predicted_draws,actual_draws,draw_recall,draw_precision,non_draw_accuracy
current_global_draw_1.5,7952.0,0.9237490517249671,0.5334846063312411,0.5978370221327968,151,1837,0.023952095808383235,0.2913907284768212,0.7702371218315618
just_2_replace_with_gap_draw,7952.0,0.9405316111769516,0.5452472346517897,0.5827464788732394,1182,1837,0.1883505715841045,0.2927241962774958,0.7012264922322159
just_3_gap_total_goals_keep_global_draw_1.5,7952.0,0.9265119779062042,0.5348296710296585,0.5924295774647887,762,1837,0.12738160043549265,0.30708661417322836,0.7321340964840556
both_gap_draw_and_gap_total_goals,7952.0,0.9481824571416151,0.5498187787230127,0.5764587525150905,1561,1837,0.2493195427327164,0.293401665598975,0.6747342600163533
