group_shrinkage,knockout_shrinkage,rotation_strength,rotation_draw_share,validation_log_loss,validation_accuracy,selected
0.0,0.0,0.0,0.25,0.8619348022606791,0.607795172863666,False
0.0,0.0,0.0,0.5,0.8619348022606791,0.607795172863666,False
0.0,0.0,0.05,0.25,0.8618633840881036,0.607795172863666,False
0.0,0.0,0.05,0.5,0.8618665634199124,0.607795172863666,False
0.0,0.0,0.1,0.25,0.8617956420325052,0.607795172863666,False
0.0,0.0,0.1,0.5,0.8618023347618419,0.607795172863666,False
0.0,0.0,0.15,0.25,0.8617314768308428,0.607795172863666,False
0.0,0.0,0.15,0.5,0.8617420302678878,0.607795172863666,False
0.0,0.0,0.2,0.25,0.8616708582353403,0.607795172863666,False
0.0,0.0,0.2,0.5,0.8616856353275493,0.607795172863666,False
0.0,0.05,0.0,0.25,0.8619934911817998,0.607795172863666,False
0.0,0.05,0.0,0.5,0.8619934911817998,0.607795172863666,False
0.0,0.05,0.05,0.25,0.8619220730092243,0.607795172863666,False
0.0,0.05,0.05,0.5,0.8619252523410332,0.607795172863666,False
0.0,0.05,0.1,0.25,0.8618543309536258,0.607795172863666,False
0.0,0.05,0.1,0.5,0.8618610236829625,0.607795172863666,False
0.0,0.05,0.15,0.25,0.8617901657519635,0.607795172863666,False
0.0,0.05,0.15,0.5,0.8618007191890084,0.607795172863666,False
0.0,0.05,0.2,0.25,0.861729547156461,0.607795172863666,False
0.0,0.05,0.2,0.5,0.8617443242486699,0.607795172863666,False
0.0,0.1,0.0,0.25,0.8620580443776742,0.607795172863666,False
0.0,0.1,0.0,0.5,0.8620580443776742,0.607795172863666,False
0.0,0.1,0.05,0.25,0.8619866262050988,0.607795172863666,False
0.0,0.1,0.05,0.5,0.8619898055369075,0.607795172863666,False
0.0,0.1,0.1,0.25,0.8619188841495004,0.607795172863666,False
0.0,0.1,0.1,0.5,0.8619255768788368,0.607795172863666,False
0.0,0.1,0.15,0.25,0.8618547189478378,0.607795172863666,False
0.0,0.1,0.15,0.5,0.8618652723848829,0.607795172863666,False
0.0,0.1,0.2,0.25,0.8617941003523353,0.607795172863666,False
0.0,0.1,0.2,0.5,0.8618088774445443,0.607795172863666,False
0.0,0.15,0.0,0.25,0.8621283266753949,0.607795172863666,False
0.0,0.15,0.0,0.5,0.8621283266753949,0.607795172863666,False
0.0,0.15,0.05,0.25,0.8620569085028192,0.607795172863666,False
0.0,0.15,0.05,0.5,0.8620600878346281,0.607795172863666,False
0.0,0.15,0.1,0.25,0.8619891664472209,0.607795172863666,False
0.0,0.15,0.1,0.5,0.8619958591765575,0.607795172863666,False
0.0,0.15,0.15,0.25,0.8619250012455585,0.607795172863666,False
0.0,0.15,0.15,0.5,0.8619355546826034,0.607795172863666,False
0.0,0.15,0.2,0.25,0.8618643826500559,0.607795172863666,False
0.0,0.15,0.2,0.5,0.861879159742265,0.607795172863666,False
0.05,0.0,0.0,0.25,0.8616844260101847,0.607795172863666,False
0.05,0.0,0.0,0.5,0.8616844260101847,0.607795172863666,False
0.05,0.0,0.05,0.25,0.8616158406366282,0.607795172863666,False
0.05,0.0,0.05,0.5,0.8616191723012531,0.607795172863666,False
0.05,0.0,0.1,0.25,0.8615511105520336,0.607795172863666,False
0.05,0.0,0.1,0.5,0.861558101659796,0.607795172863666,False
0.05,0.0,0.15,0.25,0.8614901525098665,0.607795172863666,False
0.05,0.0,0.15,0.5,0.8615011424054858,0.607795172863666,False
0.05,0.0,0.2,0.25,0.8614329548463128,0.607795172863666,False
0.05,0.0,0.2,0.5,0.8614482965988405,0.607795172863666,False
0.05,0.05,0.0,0.25,0.8617431149313054,0.607795172863666,False
0.05,0.05,0.0,0.5,0.8617431149313054,0.607795172863666,False
0.05,0.05,0.05,0.25,0.8616745295577489,0.607795172863666,False
0.05,0.05,0.05,0.5,0.8616778612223738,0.607795172863666,False
0.05,0.05,0.1,0.25,0.8616097994731542,0.607795172863666,False
0.05,0.05,0.1,0.5,0.8616167905809168,0.607795172863666,False
0.05,0.05,0.15,0.25,0.8615488414309871,0.607795172863666,False
0.05,0.05,0.15,0.5,0.8615598313266064,0.607795172863666,False
0.05,0.05,0.2,0.25,0.8614916437674336,0.607795172863666,False
0.05,0.05,0.2,0.5,0.8615069855199613,0.607795172863666,False
0.05,0.1,0.0,0.25,0.8618076681271798,0.607795172863666,False
0.05,0.1,0.0,0.5,0.8618076681271798,0.607795172863666,False
0.05,0.1,0.05,0.25,0.8617390827536233,0.607795172863666,False
