xg_strength,total_goal_strength,dixon_coles_rho,statsbomb_window,goal_profile_weight,matches,log_loss,brier_score,accuracy,top_probability_accuracy,top_probability_predicted_draws,predicted_draws,actual_draws,decision_accuracy,draw_recall,draw_precision,non_draw_accuracy,selected
0.25,0.0,0.0,5,0.2,64.0,1.032671113716573,0.6086084919310941,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.0,0.0,3,0.2,64.0,1.0327582767330374,0.608716921431965,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.0,0.25,-0.08,3,0.2,64.0,1.0330219350499914,0.60703490511831,0.5625,0.5625,0.0,1.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
0.0,0.5,-0.08,5,0.35,64.0,1.0330535715853753,0.6066459681865021,0.546875,0.546875,0.0,0.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
0.25,0.5,0.0,5,0.35,64.0,1.0331521632998772,0.6088342284935463,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.5,-0.04,5,0.2,64.0,1.0334302575308547,0.6084492956075613,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.0,0.0,-0.08,3,0.2,64.0,1.0335678269664925,0.6069190829792533,0.5625,0.5625,0.0,1.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.0,0.0,-0.08,5,0.2,64.0,1.0335678269664925,0.6069190829792533,0.5625,0.5625,0.0,1.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.25,0.0,5,0.35,64.0,1.0341614759158548,0.6090490185372462,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.0,0.25,-0.08,5,0.35,64.0,1.0342981838560081,0.6070269251188066,0.546875,0.546875,0.0,0.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
0.25,0.25,-0.04,5,0.2,64.0,1.0346067269201231,0.6087817723348485,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.0,0.5,-0.08,3,0.35,64.0,1.0349208726249874,0.6079595788113122,0.546875,0.546875,0.0,0.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
